12364078;FRAXIPARINE 0.6 ML;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
12364090;FRAXIPARINE 0.6 ML;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
12364109;FRAXIPARINE 0.6 ML;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
12364204;SANDIMMUN NEORAL 100 MG;+ Alpha Pharmaceuticals GmbH;WKA;2019-02-15;YES
12432762;MYOCET SET A 50MG;hvd medical GmbH;TRS;2019-02-15;YES
12433425;CELLCEPT 250MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
12433448;CELLCEPT 500MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12433454;ENBREL 50MG FERTIGSPRITZE;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
12433508;XARELTO 15MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12433514;XARELTO 20MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12440661;XEPLION 100MG;+ Alpha Pharmaceuticals GmbH;DIS;2019-02-15;YES
12440678;XEPLION 150MG;+ Alpha Pharmaceuticals GmbH;DIS;2019-02-15;YES
12440684;XEPLION 75MG;+ Alpha Pharmaceuticals GmbH;DIS;2019-02-15;YES
12486433;ARCOXIA 120 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486462;ARCOXIA 30 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486479;ARCOXIA 60 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486485;ARCOXIA 60 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486491;ARCOXIA 60 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486516;ARCOXIA 90 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486522;ARCOXIA 90 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486539;ARCOXIA 90 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12486551;ATROVENT;+ Alpha Pharmaceuticals GmbH;PPL;2019-02-15;YES
12486574;BAYCUTEN HC CREME;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12486580;BAYCUTEN HC CREME;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12486597;BERODUAL N;+ Alpha Pharmaceuticals GmbH;DOS;2019-02-15;YES
12486611;CELEBREX 200 MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
12486628;CELEBREX 200 MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
12486686;CERTICAN 0.5 MG;+ Alpha Pharmaceuticals GmbH;TAB;2019-02-15;YES
12486752;ELIGARD 22.5 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12486769;ELIGARD 22.5 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
